No,Question,Option A,Option B,Option C,Option D,Correct Answer,Difficulty,Source Lab,Explanation
11,"A stateless JWT contains the claims (e.g., `tenant_id`, `exp`) in a signed token, and the server has no server-side session store. How does the server know the request is legitimate on every call?","The signature proves the token was issued by the server and untampered, so the claims are trusted without any lookup.",It queries the database on every request to confirm the user's account is still active and has not been disabled or revoked.,It trusts the client's claims as-is because they arrived over an encrypted HTTPS connection.,It stores every issued token in an in-memory cache and validates each request against it.,A,Intense,Lab 5 - Security in FastAPI,"A signed JWT is self-contained: the signature proves authenticity, so no lookup is needed to trust the claims."
12,"Why is rate limiting for a paid LLM API placed in middleware that runs BEFORE the endpoint executes, rather than checked after the endpoint returns?",Because middleware cannot read the request headers once the endpoint has already responded.,Because dependency checks only run after the endpoint has already finished executing its work.,Because checking the limit after the endpoint has run is technically impossible in FastAPI.,Because a throttled request is rejected before the paid LLM call is ever made.,D,Medium,Lab 6 - Rate Limiting Middleware,Pre-endpoint rejection means a throttled request never triggers the paid LLM call.
13,"In Server-Sent Events (SSE), what is the role of the empty blank line between events?",An optional keep-alive heartbeat that keeps the connection from idling out.,"Whitespace that SSE parsers ignore completely, like indentation in plain text.",The delimiter that marks the end of one event and the start of the next.,The signal that the server has finished and the stream is now ended.,C,Medium,Lab 7 - Streaming Responses with SSE,The blank line is the SSE-specified delimiter between events.
14,"An operator dashboard must show live, read-only updates - for example streaming token usage or log lines - pushed from the server as soon as they occur. Clients never send anything back. Which architecture is the best fit?",REST - the browser polls `/updates` on an interval and diffs each response against the last one.,WebSockets - a full-duplex persistent connection over which browser and server exchange messages freely.,"HTTP long-polling - each request stays open until new data arrives, at which point the client reconnects for the next update.",Server-Sent Events (SSE) - a one-way HTTP stream the server pushes to the browser with automatic reconnection.,D,Medium,Lab 8 - Bidirectional Chat with WebSockets,"SSE is the HTTP-native, one-way server-to-client stream built for read-only push and the browser reconnects automatically; a full-duplex WebSocket adds protocol overhead a client that never sends does not need."
15,"You need the client to be able to send messages to the server AT ANY TIME, even while the server is mid-response (e.g., a Stop button or a follow-up). Which technology fits, and why?",SSE - keeps an HTTP connection open and delivers each update to the browser as the server produces them.,"Plain HTTP - each request is independent, and the protocol is naturally full-duplex.","WebSockets - after the upgrade handshake, both sides freely send data over one persistent connection.",Server polling - the client repeatedly polls a message queue that the server fills on its behalf over time.,C,Intense,Lab 8 - Bidirectional Chat with WebSockets,WebSockets are full-duplex over one connection; SSE is server-to-client only.
16,"An endpoint hands a slow, multi-minute job to `BackgroundTasks` and returns a response immediately. What does the client receive right away?","The completed job results from the background work, delivered once it finishes processing.",A confirmation/job ID; the actual work runs after the response is sent.,Nothing - the connection just stays open until the whole job finishes.,An HTTP 504 Gateway Timeout because the job ran longer than expected.,B,Easy,Lab 9 - Background Tasks,The client gets a job ID immediately; the work runs after the response is sent.
17,What does `app.dependency_overrides[get_classifier_client] = lambda: fake_classifier` accomplish?,It deletes the classifier dependency from the app so the endpoint no longer needs one.,It swaps the dependency by function object so the endpoint gets the fake with zero endpoint changes.,It replaces the classifier with the fake for requests that send a special HTTP header on each call.,It permanently rewrites the endpoint's behavior in production environments when deployed.,B,Medium,Lab 10 - Testing Endpoints,dependency_overrides swaps the dependency by function object with no endpoint changes.
18,A test overrides `get_classifier_client` via `app.dependency_overrides` but never clears the overrides dictionary afterward. What happens when a later test runs against the same app?,FastAPI resets the overrides automatically as soon as the test function returns.,The app raises an error because only a single override may be registered at one time.,The override applies only to the very first request that the app ever serves.,"The override silently persists, so the later test keeps using the fake without noticing.",D,Intense,Lab 10 - Testing Endpoints,"Overrides live in the app's `dependency_overrides` dictionary and are never auto-cleared, so a stale fake keeps replacing the real dependency in later tests and can mask production behavior; suites must clear or re-override per test."
19,A dependency is passed at `APIRouter()` construction time in `dependencies=[Depends(check)]`. When does it run?,"Only on the very first mount of the router object, across its whole lifetime.",Only on endpoints that explicitly import the function and depend on it inside their own signature.,"On every request to that router's routes, at every mount, since it is baked into the router.","Only once, at import time, when the router object itself is created and mounted.",C,Medium,Lab 11 - Modular Routing,Construction-time dependencies are baked into the router and follow it to every mount.
20,"A cross-cutting concern must apply to EVERY request to EVERY route (e.g., logging), AND some expensive resource must be loaded exactly ONCE for the whole app (e.g., an embedding model). Which pairing handles them best?","A `Depends()` hook for the logging, plus a per-request cache that loads the model every call.","An `@app.middleware(""http"")` for the logging and a lifespan that loads the model once onto `app.state`.","Two separate `Depends()` functions, one dedicated to each concern, applied per route.","Load the model lazily inside every route handler that happens to need it, on first use per request.",B,Intense,Lab 12 - Lifespan Events,Middleware scopes to all routes; lifespan loads heavy resources once; `app.state` shares them with requests.
